OpenMontage	OpenMontage	demo-list	make demo-list
OpenMontage	OpenMontage	hyperframes-doctor	make hyperframes-doctor
OpenMontage	OpenMontage	hyperframes-warm	make hyperframes-warm
OpenMontage	OpenMontage	install	make install
OpenMontage	OpenMontage	install-dev	make install-dev
OpenMontage	OpenMontage	install-gpu	make install-gpu
OpenMontage	OpenMontage	lint	make lint
OpenMontage	OpenMontage	preflight	make preflight
OpenMontage	OpenMontage	setup	make setup
OpenMontage	OpenMontage	test	make test
OpenMontage	OpenMontage	test-contracts	make test-contracts
OpenMontage	remotion-composer	build	npx remotion render src/index.tsx Explainer out/video.mp4
OpenMontage	remotion-composer	start	npx remotion studio
OpenMontage	remotion-composer	upgrade	npx remotion upgrade
VPS	VPS	android:build	bash scripts/aift-build-android-runtime.sh
VPS	VPS	android:sync	bash scripts/aift-android-runtime-bootstrap.sh
VPS	VPS	dashboard:build	npm --workspace apps/aift-dashboard run build
VPS	VPS	dashboard:dev	npm --workspace apps/aift-dashboard run dev
VPS	VPS	dashboard:start	npm --workspace apps/aift-dashboard run start
VPS	VPS	desktop:build:win	npm --workspace apps/aift-desktop run build:win
VPS	VPS	desktop:dev	npm --workspace apps/aift-desktop run dev
VPS	VPS	lint	npm run lint:structure
VPS	VPS	lint:structure	npm run verify:structure
VPS	VPS	node-agent:build	npm --workspace apps/aift-node-agent run build
VPS	VPS	qa:local	npm run verify:structure && npm run verify:installer-registry
VPS	VPS	test	npm run qa:local
VPS	VPS	verify:installer-registry	node scripts/aift-validate-installer-registry.mjs
VPS	VPS	verify:structure	node scripts/aift-verify-structure.mjs
VPS	aift-dashboard	build	next build --webpack
VPS	aift-dashboard	dev	next dev --webpack --hostname 0.0.0.0
VPS	aift-dashboard	lint	next lint
VPS	aift-dashboard	start	next start --hostname 0.0.0.0
VPS	aift-desktop	build:win	electron-builder --win nsis portable
VPS	aift-desktop	dev	electron .
VPS	aift-node-agent	build	tsc
VPS	aift-node-agent	dev	tsx src/index.ts
VPS	aift-node-agent	start	node dist/index.js
VPS	vite-react	build	vite build
VPS	vite-react	dev	vite --host 0.0.0.0
VPS	vite-react	preview	vite preview --host 0.0.0.0
biozone-harmony-boost	biozone-harmony-boost	build	vite build
biozone-harmony-boost	biozone-harmony-boost	build:dev	vite build --mode development
