OpenMontage	OpenMontage	/data/data/com.termux/files/home/AIFT/OpenMontage	module	make	Makefile
OpenMontage	remotion-composer	/data/data/com.termux/files/home/AIFT/OpenMontage/remotion-composer	module	node	package.json
VPS	VPS	/data/data/com.termux/files/home/AIFT/VPS	module	node	package.json
VPS	aift-dashboard	/data/data/com.termux/files/home/AIFT/VPS/apps/aift-dashboard	module	node	package.json
VPS	aift-desktop	/data/data/com.termux/files/home/AIFT/VPS/apps/aift-desktop	module	node	package.json
VPS	aift-node-agent	/data/data/com.termux/files/home/AIFT/VPS/apps/aift-node-agent	module	node	package.json
VPS	vite-react	/data/data/com.termux/files/home/AIFT/VPS/templates/vite-react	module	node	package.json
biozone-harmony-boost	biozone-harmony-boost	/data/data/com.termux/files/home/AIFT/biozone-harmony-boost	module	node	package.json
booksmith-ai	booksmith-ai	/data/data/com.termux/files/home/AIFT/booksmith-ai	module	node	package.json
c-848263	c-848263	/data/data/com.termux/files/home/AIFT/c-848263	module	node	package.json
capital-city-provisions	capital-city-provisions	/data/data/com.termux/files/home/AIFT/capital-city-provisions	module	node	package.json
repo	module	path	kind	manager	manifest
repo-brainstorm-backend-forge	repo-brainstorm-backend-forge	/data/data/com.termux/files/home/AIFT/repo-brainstorm-backend-forge	module	node	package.json
tastycutz	tastycutz	/data/data/com.termux/files/home/AIFT/tastycutz	module	node	package.json
